City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,aden,12.7794,45.0367,25.23,74,0,7.01,YE,1678138723
255,petropavlovsk-kamchatskiy,53.0452,158.6483,-8.67,86,75,2.0,RU,1678138723
256,dauriya,49.9333,116.8667,-8.33,90,100,5.36,RU,1678138723
257,acarau,-2.8856,-40.12,26.86,76,98,6.27,BR,1678138723
258,nelson bay,-32.7167,152.15,27.22,68,15,2.68,AU,1678138724
259,mehamn,71.0357,27.8492,-10.05,73,0,6.17,NO,1678138724
260,trat,12.5,102.5,22.71,83,0,1.28,TH,1678138724
261,prince rupert,54.3161,-130.3201,0.83,47,0,2.06,CA,1678138725
262,baracoa,20.3467,-74.4958,25.69,73,51,3.99,CU,1678138725
263,sturgis,41.7992,-85.4192,5.14,95,100,3.6,US,1678138507
264,ritchie,-29.038,24.6028,20.56,24,3,4.29,ZA,1678138725
265,viedma,-40.8135,-62.9967,35.09,7,46,5.96,AR,1678138726
266,kalofer,42.6167,24.9833,3.91,80,31,0.45,BG,1678138726
267,richmond,37.5538,-77.4603,19.81,38,75,5.14,US,1678138726
268,kem,64.9555,34.5793,-15.89,99,89,2.1,RU,1678138726
269,flin flon,54.7682,-101.865,-16.09,47,0,4.12,CA,1678138727
270,narsaq,60.9167,-46.05,6.12,84,20,1.89,GL,1678138727
271,husavik,66.0449,-17.3389,-5.47,67,100,4.86,IS,1678138727
272,peniche,39.3558,-9.3811,13.95,90,100,6.81,PT,1678138728
273,qasigiannguit,68.8193,-51.1922,-4.86,80,9,1.66,GL,1678138467
274,mandapam,9.2833,79.1167,26.62,73,11,7.05,IN,1678138728
275,linxi,39.7,118.4333,4.84,56,0,1.87,CN,1678138728
276,praia,14.9215,-23.5087,23.3,60,20,6.17,CV,1678138729
277,airai,-8.9266,125.4092,14.84,89,96,0.57,TL,1678138729
278,mastic beach,40.7668,-72.8521,12.11,30,0,5.66,US,1678138505
279,paamiut,61.994,-49.6678,-2.6,80,1,2.99,GL,1678138729
280,ariquemes,-9.9133,-63.0408,25.12,95,91,1.33,BR,1678138730
281,teahupoo,-17.8333,-149.2667,23.98,79,100,8.01,PF,1678138730
282,coos bay,43.3665,-124.2179,8.51,81,100,3.6,US,1678138575
283,magadan,59.5667,150.8,-18.01,97,100,1.56,RU,1678138730
284,enshi,30.3,109.4833,13.53,93,100,0.11,CN,1678138731
285,champerico,14.3,-91.9167,35.3,63,16,5.64,GT,1678138731
286,menongue,-14.6585,17.691,18.0,89,71,2.21,AO,1678138731
287,pafos,34.7667,32.4167,15.88,63,40,4.63,CY,1678138732
288,sao jose da coroa grande,-8.8978,-35.1478,26.72,73,97,4.5,BR,1678138732
289,rocha,-34.4833,-54.3333,21.71,69,64,5.17,UY,1678138706
290,noumea,-22.2763,166.4572,27.22,99,9,4.05,NC,1678138469
